entry_idx,exit_idx,entry_price,exit_price,size,pnl,pnl_pct
29,30,89.34808294904071902209352627,85.62290341701984301181482801,27.980454840042442321715463735,11.17900918945901707784923999,0.2221884518685573653953833200
48,49,85.02837331219776518764774663,78.016940749051841571315435392,29.651853495357817785475506733,7.96816880073307509643470583,0.1582097173865790463838984800
80,81,76.808221736081178192989682407,65.774934459570786536630748720,32.837812445176624717720603579,-83.73092681436244861590316405,-1.6589958424084746203338619900
112,113,56.825632741579077929827690218,55.785589815790110026938464206,43.671787033845450696791347451,19.065365669289496670429183642,0.372278948403098389818067100
144,145,53.884365097735122251521033815,49.836261140421809667344632524,47.69772661623250158267168243,-47.98497366185633388209663408,-0.9174609565917823739264553800
171,172,46.099492990794241254803864635,43.197011047038354675464688610,56.206772979358401746700537882,-6.83377769980544077354096411,-0.1291779843346078258352979700
218,219,36.048167978055261944092535474,35.491025140305193133372085858,73.282077757166568833712855439,17.918272758872737630945097552,0.3332754823258415751083639400
236,237,33.535373613787456164914146929,32.066447461469448303006402047,80.42751000189371457975558083,33.33528392555050472187992064,0.6137649968053638554018614100
309,310,27.087108479143066658068050847,23.289252231214617440357983464,100.87110994718001940458189381,-80.84957112348016337330293477,-1.4637164229379255868212317100
329,330,21.331004298199928015833393138,20.823955674564566271200760634,127.57796023800647005682640153,24.585177031680618349251595715,0.4512237370686752143959024100
367,368,19.664412640668803327059777069,17.708673332021662547575147067,139.16360133811703470671831421,-59.18307407856935971560482319,-1.0950632668326393522081753800
388,389,16.201891341927319134086360458,15.979321022756098018113846132,164.96072890823731465046277607,23.689798005917736301872946766,0.4485033371360223005460395300
413,414,14.899352933781322499307009360,14.234075673782802348377174435,178.04990473807344680345793115,20.47521558189869677179260843,0.393475970378454513194236600
439,440,12.715002010543846741263962480,12.402408998896046393944914138,205.43258473558250590300129534,7.562537032411184138370723411,0.1450973524358421625695328100
474,475,10.815733565699980081475928269,10.412881284262322648892507000,241.29690051144059398990954288,17.12653246380326586802735290,0.326802026127739619890000500
497,498,9.285179263971101921271156240,9.016035693979696641342513882,283.12706195637904490203742572,20.794244271582119286933217131,0.3925089342037891069035117900
518,519,8.565526454214215013927002925,8.308793369917867189577975748,310.46371246543333062592367354,-2.19952973366889689851298064,-0.0414671195761202377020554800
529,530,7.951938953123709997949930536,7.7933571468219117073239488006,333.38250721258832707995580266,24.238301519691594530143873279,0.4524207610791430114785481800
553,554,7.1764533169839873512074746008,6.8759709459901913541912676900,374.95591152460382760426420514,21.20992451751766401339402751,0.3864773970613037597103335700
575,576,6.3297221049615596291104679924,6.0468648996755801010571929032,435.1866849918613128489235959,-5.48690090106913112052183579,-0.0969290625851488458960744200
606,607,5.6947658612545994003539817622,5.1797547257299280145659281494,496.53066331999751205868682703,-8.25979392586578244633008159,-0.1402872078633859358209754900
672,673,3.8877812158748499522520347666,3.6416655161355512426712976987,756.15293210102338223709204309,-29.61963646332747367936665949,-0.4840653394802203729664151100
